id_endereco,logradouro,numero,complemento,bairro,cidade,estado,cep,pais
1,Vila de Martins,78,,Vila Pilar,Aragão,ES,98768048,Brasil
2,Estrada Carvalho,36,,Vila Sesc,Camargo de da Luz,RJ,69715-329,Brasil
3,Largo Santos,336,Ipsum qui asperiores soluta.,Engenho Nogueira,da Rocha,AP,56502981,Brasil
4,Vale Ágatha Caldeira,61,,Vila Coqueiral,Costela,DF,33371-588,Brasil
5,Núcleo de da Costa,68,Ipsam nam at.,Santa Helena,Andrade,AC,90989504,Brasil
6,Praça de Azevedo,81,,Maria Tereza,Gomes,MG,17139161,Brasil
7,Residencial de Freitas,82,Natus laborum consequuntur.,Chácara Leonina,Leão,RO,11954-169,Brasil
8,Vereda Sophie Ferreira,30,,Parque São Pedro,Ramos de das Neves,BA,87579254,Brasil
9,Praça João Felipe Monteiro,59,Autem dolor dicta hic.,Camponesa 2ª Seção,Caldeira de Rodrigues,AC,24863768,Brasil
10,Loteamento de da Mota,54,,Vila Cemig,Pacheco,MA,14749665,Brasil
11,Lago de da Mota,89,,Vila Formosa,Silveira Paulista,MA,50165-355,Brasil
12,Estrada de Farias,1,,Vila Nova Gameleira 3ª Seção,Siqueira do Galho,ES,96415310,Brasil
13,Recanto Maria Julia Nunes,56,Error quaerat tempora.,Maria Virgínia,Cavalcante,MG,72197148,Brasil
14,Núcleo Mendonça,7,Quo soluta sint ut.,Morro Dos Macacos,Martins de Pimenta,MG,87181-984,Brasil
15,Favela Bruno Pimenta,3,Aut qui culpa sint in non.,Maria Goretti,Souza de da Paz,RJ,91572-445,Brasil
16,Estação de da Rosa,60,,João Paulo Ii,Moraes de Melo,MG,31122-500,Brasil
17,Estrada Marques,953,,Vila Esplanada,Siqueira das Flores,MA,39176-084,Brasil
18,Via Pietro Novaes,85,,Bom Jesus,Vieira da Praia,PA,36778-331,Brasil
19,Lago Maria Alice Nascimento,59,Eaque iusto ducimus neque.,Santa Lúcia,Leão,ES,52388037,Brasil
20,Lagoa de Fernandes,8,,Aguas Claras,Lopes,PE,51364-412,Brasil
21,Rodovia Juan Novais,621,Beatae saepe deserunt.,Confisco,Garcia da Praia,CE,02612850,Brasil
22,Núcleo de da Conceição,163,,Vila Santa Rosa,da Mota de Siqueira,SP,35291152,Brasil
23,Estrada Silva,818,,São Pedro,Cavalcanti de Peixoto,AP,67162064,Brasil
24,Jardim de Ramos,39,,Araguaia,Jesus de Rezende,GO,14206906,Brasil
25,Travessa Vieira,68,,Vila São Francisco,Campos,PE,75552-463,Brasil
26,Trevo de Moura,67,,São Benedito,Cassiano Paulista,SP,53195-943,Brasil
27,Feira Porto,76,,Buritis,da Costa,SP,27270529,Brasil
28,Área Vicente Barros,65,,Ribeiro De Abreu,Montenegro de Duarte,MS,22390419,Brasil
29,Trecho Maria Clara Pires,47,,Funcionários,Porto,AP,98910822,Brasil
30,Estrada Marques,465,Laudantium omnis harum.,Vila Nova Gameleira 2ª Seção,Cassiano,AC,17027-097,Brasil
31,Praia Gabriela da Luz,46,,Dona Clara,das Neves do Campo,SE,45288-902,Brasil
32,Trevo Azevedo,17,,Santa Maria,Azevedo,RO,28173-109,Brasil
33,Praça Benjamim Pinto,1,Odit tempore temporibus ex.,Vila Madre Gertrudes 1ª Seção,Sá,PI,60688-034,Brasil
34,Estrada Melo,4,Rerum porro aut possimus.,Vila Oeste,Monteiro,BA,95008-095,Brasil
35,Via Fernando Azevedo,93,,Planalto,Rodrigues de Freitas,AP,13784-490,Brasil
36,Estação de Montenegro,655,,Vila Novo São Lucas,Fogaça da Serra,MT,73228302,Brasil
37,Rodovia Valentim Nogueira,52,,Pirineus,Pires,RR,69842673,Brasil
38,Condomínio de Martins,5,,Santa Cruz,Jesus,ES,31553866,Brasil
39,Vale Costa,253,At qui nisi.,São Salvador,Ferreira,PA,65276-108,Brasil
40,Trecho Camargo,97,,Santa Monica,Guerra,SC,35014-196,Brasil
41,Ladeira Macedo,513,Eaque ad aliquam quis omnis.,Santa Rita,Aragão Alegre,PR,23022-487,Brasil
42,Distrito Rodrigues,199,,São Gonçalo,da Rocha,RN,43377516,Brasil
43,Favela Leão,73,Harum a quam.,Providencia,Guerra,AC,12320-236,Brasil
44,Condomínio de Nascimento,64,,Pantanal,Nogueira,PA,66715-556,Brasil
45,Rodovia de Machado,12,Vitae illum dolore.,Satelite,Fernandes de Goiás,PE,78882997,Brasil
46,Lago Ana Cecília Viana,78,Eius adipisci optio ex.,Copacabana,da Mata Alegre,PE,52918050,Brasil
47,Lagoa de Barros,46,,Camponesa 2ª Seção,Novaes da Serra,PE,89093-256,Brasil
48,Praça Luiz Fernando Ferreira,919,Nihil atque deserunt earum.,Minaslandia,Sales,MT,49959-399,Brasil
49,Estação Sara da Conceição,60,,Engenho Nogueira,Barbosa do Norte,PB,18622-966,Brasil
50,Chácara Matteo Pinto,88,,Ermelinda,Cardoso Grande,RJ,51198-043,Brasil
51,Núcleo Yago Mendonça,1,,Nova Floresta,Santos de Goiás,RN,09483-091,Brasil
52,Passarela Calebe Rios,83,,Tres Marias,Sampaio de Gomes,GO,95385020,Brasil
53,Sítio da Mota,31,Eum vel iure nam.,Varzea Da Palma,Alves Grande,PI,34416638,Brasil
54,Chácara Azevedo,1,,Beira Linha,Ribeiro,MA,43742039,Brasil
55,Aeroporto da Luz,996,,Camargos,Caldeira,AP,83330-805,Brasil
56,Aeroporto Calebe Rios,61,,Olhos D'água,Jesus,MS,20905812,Brasil
57,Loteamento de Nunes,10,,Manacas,da Mata,BA,71108-661,Brasil
58,Chácara Sales,438,,Ventosa,Garcia,AL,81138701,Brasil
59,Estação Fogaça,78,,Biquinhas,Albuquerque de Sousa,SC,01582-351,Brasil
60,Vereda Ana Julia Fernandes,6,,Conjunto Novo Dom Bosco,Garcia da Serra,SE,87286463,Brasil
61,Vila Lucas Gabriel Monteiro,6,Molestias vel id hic harum.,Ventosa,Silveira,SC,96320830,Brasil
62,Quadra Gael Henrique da Costa,7,,Bacurau,Pacheco,CE,96439093,Brasil
