id_paciente,nome_paciente,cpf_paciente,telefone,genero,data_nasc,email,endereco_id_endereco
1,Arthur Miguel Mendes,63428095189,+55 81 1337-3891,O,1969-04-01,gabrielly09@example.org,11039
2,Matheus Nascimento,21967538077,61 7287-0051,F,1975-04-20,maria-vitoria64@example.net,17526
3,Pedro Cirino,59167203868,+55 (084) 0772 5650,O,1981-05-30,fda-luz@example.org,8186
4,Dra. Eloá Rodrigues,79241530804,61 6556-8116,F,1997-03-15,ottopeixoto@example.com,2007
5,João Pacheco,03129745823,+55 21 5174 8900,O,1988-03-02,mendoncanina@example.com,321
6,Ana Carolina Machado,08792614558,+55 (081) 8679 2156,F,1987-05-09,wda-costa@example.com,6347
7,Nicolas Cavalcanti,67845123919,(041) 1971-4688,O,1957-01-17,rezendealicia@example.com,15344
8,Arthur Gabriel Sampaio,63258907102,+55 (061) 8566-8684,F,1993-11-25,ufonseca@example.com,1823
9,Yasmin Alves,45013987288,0900-351-7764,M,1982-06-04,fernanda49@example.com,13672
10,Dra. Amanda Fernandes,41089632533,+55 21 9570-6436,F,1961-01-28,yoliveira@example.com,9687
11,Pedro Campos,42953608133,61 0788 2098,O,1968-06-07,nicolas32@example.org,11999
12,Maria Julia Campos,21984753673,(051) 3682-6489,F,1962-06-10,sofiada-cruz@example.org,19885
13,Dr. Ravi Lucca Lopes,40187325626,+55 51 0441 5300,M,1999-11-28,freitasotto@example.com,11943
14,Anthony Nascimento,81479326500,81 7325 0971,O,1988-06-28,nlima@example.com,1381
15,Bárbara Borges,46028953105,(051) 5685 6523,O,1986-05-18,cviana@example.net,9758
16,Sophie Moreira,82053619759,+55 84 1498-6951,O,2004-11-14,costelagabrielly@example.org,3009
17,Vinícius Siqueira,23607895465,+55 (084) 4085 6708,O,1974-03-19,joao-vitorcorreia@example.com,2392
18,Hadassa Rezende,23758014905,81 7508 5299,F,2004-10-29,ana-vitoria04@example.org,5593
19,Sr. Gabriel Farias,14705682335,+55 (081) 8239-3048,O,1958-10-20,levibrito@example.com,15497
20,Maria Castro,48063295170,0800 526 8642,F,1950-07-21,mpastor@example.net,16539
21,Elisa das Neves,63759412025,(031) 9054 8597,F,1996-01-13,luaramartins@example.net,6245
